,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
84,170,NR012,Cabai hijau. segar,93.4,26,0.7,0.3,5.2,2.6,0.4,14.0,23.0,0.4,7.0,151.0,0.08,0.2,,44.0,260.0,0.05,0.06,0.4,84.0,82.0,Tunggal,Bumbu,DABM-1964
85,171,NR013,Cabai merah. kering,10.0,367,15.9,6.2,61.8,26.9,6.1,160.0,370.0,2.3,25.0,181.5,1.2,1.8,,10.955,576.0,0.4,1.36,4.4,50.0,85.0,Tunggal,Bumbu,DABM-1964
86,172,NR014,Cabai merah. segar,90.9,36,1.0,0.3,7.3,1.4,0.5,29.0,24.0,0.5,23.0,272.4,0.12,0.2,,5.833,470.0,0.05,0.09,3.0,18.0,85.0,Tunggal,Bumbu,DABM-1964
87,173,NR015,Cabai rawit. segar,71.2,120,4.7,2.4,19.9,15.2,1.8,45.0,85.0,2.5,34.0,706.2,0.29,0.6,,1.694,11.05,0.24,0.09,1.7,70.0,85.0,Tunggal,Bumbu,DABM-1964
88,174,DR016,Caisin. segar,93.6,20,1.7,0.4,3.4,1.2,0.9,123.0,40.0,1.9,18.0,358.2,0.05,1.4,,1.675,4.188,0.04,0.19,0.6,3.0,100.0,Tunggal,Sayur,KZGPI-1990
89,177,DP029,Cammetutu,79.6,102,3.2,6.0,8.7,4.3,2.5,41.0,93.0,0.5,443.0,518.0,0.3,0.7,,1.123,,0.3,0.4,0.4,19.0,100.0,Olahan,Sayur,KZGMI-2001
90,179,AR014,Cantel. mentah,11.0,366,11.0,3.3,73.0,1.2,1.7,28.0,287.0,4.4,7.0,249.0,,,,,,0.09,0.14,2.8,,100.0,Tunggal,Serealia,DABM-1964
91,180,DP030,Cap cai. sayur,82.7,97,5.8,6.3,4.2,0.6,1.0,287.0,89.0,1.8,405.0,,,,45.0,,1.64,0.21,,,1.0,100.0,Olahan,Sayur,KZGMS-1993
92,183,ER021,Cempedak. segar,67.0,116,3.0,0.4,28.6,3.4,1.0,20.0,30.0,1.5,26.0,243.7,,,,79.0,200.0,,,0.5,15.0,30.0,Tunggal,Buah,DABM-1964
93,184,NR016,Cengkeh. kering,23.3,330,5.2,8.9,57.4,10.0,5.2,740.0,100.0,4.9,282.0,961.0,0.3,,,265.0,,200.0,,,,100.0,Tunggal,Bumbu,DABM-1964
